title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
파리바게뜨 우유 생크림<b>케이크</b> <b>딸기</b> A타입 6호,https://search.shopping.naver.com/catalog/53353029539,https://shopping-phinf.pstatic.net/main_5335302/53353029539.20250304174449.jpg,48900,,네이버,53353029539,1,파리바게뜨,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
스타벅스 <b>딸기</b> 라떼 T 2잔 + <b>딸기</b> 촉촉 초코 생크림 <b>케이크</b>,https://search.shopping.naver.com/catalog/53143863593,https://shopping-phinf.pstatic.net/main_5314386/53143863593.20250221123213.jpg,19590,,네이버,53143863593,1,스타벅스,스타벅스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
[바로콘] 투썸플레이스 <b>딸기</b> 생크림 <b>케이크</b> 기프티콘,https://smartstore.naver.com/main/products/4450140914,https://shopping-phinf.pstatic.net/main_8199466/81994663622.4.jpg,32700,,바로콘,81994663622,2,투썸플레이스,투썸플레이스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
메가MGC커피 로꾸꺼 <b>딸기</b>젤라또 콘<b>케이크</b>,https://search.shopping.naver.com/catalog/58697583528,https://shopping-phinf.pstatic.net/main_5869758/58697583528.20260128152018.jpg,3900,,네이버,58697583528,1,메가MGC커피,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
스타벅스 더블 에스프레소 크림 라떼 T 2잔 + <b>딸기</b> 프레지에 <b>케이크</b>,https://search.shopping.naver.com/catalog/58402395561,https://shopping-phinf.pstatic.net/main_5840239/58402395561.20260106144937.jpg,27900,,네이버,58402395561,1,스타벅스,스타벅스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
뚜레쥬르 <b>딸기</b>와우유 생크림 2호,https://search.shopping.naver.com/catalog/40497845618,https://shopping-phinf.pstatic.net/main_4049784/40497845618.20230609114405.jpg,29650,,네이버,40497845618,1,뚜레쥬르,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
파리바게뜨 <b>딸기</b> 티라미수 <b>케이크</b>,https://search.shopping.naver.com/catalog/52959765228,https://shopping-phinf.pstatic.net/main_5295976/52959765228.20250212120024.jpg,21000,,네이버,52959765228,1,파리바게뜨,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
[뚜레쥬르] 말차에 퐁당 <b>딸기케이크</b>,https://smartstore.naver.com/main/products/11548601447,https://shopping-phinf.pstatic.net/main_8909311/89093111853.jpg,31000,,뚜레쥬르 공식몰,89093111853,2,뚜레쥬르,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
특별한 선물 스타벅스 <b>딸기</b> 라떼T 2잔 + 진한 가나슈 9 레이어 <b>케이크</b>,https://search.shopping.naver.com/catalog/53143653512,https://shopping-phinf.pstatic.net/main_5314365/53143653512.20250221113335.jpg,19500,,네이버,53143653512,1,스타벅스,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
투썸플레이스 과일생 듀오 <b>딸기</b> 망고,https://search.shopping.naver.com/catalog/58615472524,https://shopping-phinf.pstatic.net/main_5861547/58615472524.20260122173540.jpg,35850,,네이버,58615472524,1,투썸플레이스,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
파리바게뜨 마이넘버원 <b>딸기</b>생크림 조각 <b>케이크</b>,https://search.shopping.naver.com/catalog/55269514138,https://shopping-phinf.pstatic.net/main_5526951/55269514138.20250612172230.jpg,5850,,네이버,55269514138,1,파리바게뜨,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
